,ward,district,area,latitude,longitude
9214,Phường Tân Định,Quận 1,"Phường Tân Định, Quận 1",10.7930968,106.6902951
9215,Phường Đa Kao,Quận 1,"Phường Đa Kao, Quận 1",10.7878843,106.6984026
9216,Phường Bến Nghé,Quận 1,"Phường Bến Nghé, Quận 1",10.7808334,106.702825
9217,Phường Bến Thành,Quận 1,"Phường Bến Thành, Quận 1",10.7735994,106.6944173
9218,Phường Nguyễn Thái Bình,Quận 1,"Phường Nguyễn Thái Bình, Quận 1",10.7693846,106.7006138
9219,Phường Phạm Ngũ Lão,Quận 1,"Phường Phạm Ngũ Lão, Quận 1",10.7658855,106.6908105
9220,Phường Cầu Ông Lãnh,Quận 1,"Phường Cầu Ông Lãnh, Quận 1",10.7655446,106.6961914
9221,Phường Cô Giang,Quận 1,"Phường Cô Giang, Quận 1",10.7616235,106.6932433
9222,Phường Nguyễn Cư Trinh,Quận 1,"Phường Nguyễn Cư Trinh, Quận 1",10.7640301,106.68661
9223,Phường Cầu Kho,Quận 1,"Phường Cầu Kho, Quận 1",10.7577834,106.6888211
9224,Phường Thạnh Xuân,Quận 12,"Phường Thạnh Xuân, Quận 12",10.8834303,106.6703963
9225,Phường Thạnh Lộc,Quận 12,"Phường Thạnh Lộc, Quận 12",10.8712302,106.6859815
9226,Phường Hiệp Thành,Quận 12,"Phường Hiệp Thành, Quận 12",10.8825023,106.6379724
9227,Phường Thới An,Quận 12,"Phường Thới An, Quận 12",10.8760697,106.6556575
9228,Phường Tân Chánh Hiệp,Quận 12,"Phường Tân Chánh Hiệp, Quận 12",10.866797,106.6261831
9229,Phường An Phú Đông,Quận 12,"Phường An Phú Đông, Quận 12",10.8596614,106.7057733
9230,Phường Tân Thới Hiệp,Quận 12,"Phường Tân Thới Hiệp, Quận 12",10.8603672,106.6438673
9231,Phường Trung Mỹ Tây,Quận 12,"Phường Trung Mỹ Tây, Quận 12",10.856544,106.6143944
9232,Phường Tân Hưng Thuận,Quận 12,"Phường Tân Hưng Thuận, Quận 12",10.8384209,106.6217623
9233,Phường Đông Hưng Thuận,Quận 12,"Phường Đông Hưng Thuận, Quận 12",10.8433839,106.630604
9234,Phường Tân Thới Nhất,Quận 12,"Phường Tân Thới Nhất, Quận 12",10.8292885,106.6143944
9235,Phường Linh Xuân,Quận Thủ Đức,"Phường Linh Xuân, Quận Thủ Đức",10.8804079,106.773595
9236,Phường Bình Chiểu,Quận Thủ Đức,"Phường Bình Chiểu, Quận Thủ Đức",10.8830404,106.7264125
9237,Phường Linh Trung,Quận Thủ Đức,"Phường Linh Trung, Quận Thủ Đức",10.8637312,106.7794935
9238,Phường Tam Bình,Quận Thủ Đức,"Phường Tam Bình, Quận Thủ Đức",10.8676413,106.7337841
9239,Phường Tam Phú,Quận Thủ Đức,"Phường Tam Phú, Quận Thủ Đức",10.8551341,106.7382072
9240,Phường Hiệp Bình Phước,Quận Thủ Đức,"Phường Hiệp Bình Phước, Quận Thủ Đức",10.8455467,106.7146184
9241,Phường Hiệp Bình Chánh,Quận Thủ Đức,"Phường Hiệp Bình Chánh, Quận Thủ Đức",10.8339953,106.7264125
9242,Phường Linh Chiểu,Quận Thủ Đức,"Phường Linh Chiểu, Quận Thủ Đức",10.8538209,106.7617984
9243,Phường Linh Tây,Quận Thủ Đức,"Phường Linh Tây, Quận Thủ Đức",10.8560516,106.7535475
9244,Phường Linh Đông,Quận Thủ Đức,"Phường Linh Đông, Quận Thủ Đức",10.843909,106.7441048
9245,Phường Bình Thọ,Quận Thủ Đức,"Phường Bình Thọ, Quận Thủ Đức",10.8467644,106.7662221
9246,Phường Trường Thọ,Quận Thủ Đức,"Phường Trường Thọ, Quận Thủ Đức",10.832358,106.7559004
9247,Phường Long Bình,Quận 9,"Phường Long Bình, Quận 9",10.8909381,106.8283134
9248,Phường Long Thạnh Mỹ,Quận 9,"Phường Long Thạnh Mỹ, Quận 9",10.8421949,106.8237374
9249,Phường Tân Phú,Quận 9,"Phường Tân Phú, Quận 9",10.8569656,106.8030892
9250,Phường Hiệp Phú,Quận 9,"Phường Hiệp Phú, Quận 9",10.8486667,106.7809682
9251,Phường Tăng Nhơn Phú A,Quận 9,"Phường Tăng Nhơn Phú A, Quận 9",10.8409534,106.79719
9252,Phường Tăng Nhơn Phú B,Quận 9,"Phường Tăng Nhơn Phú B, Quận 9",10.8307175,106.7853922
9253,Phường Phước Long B,Quận 9,"Phường Phước Long B, Quận 9",10.8147076,106.7794935
9254,Phường Phước Long A,Quận 9,"Phường Phước Long A, Quận 9",10.8224164,106.763273
9255,Phường Trường Thạnh,Quận 9,"Phường Trường Thạnh, Quận 9",10.8117526,106.8325872
9256,Phường Long Phước,Quận 9,"Phường Long Phước, Quận 9",10.8075496,106.8591387
9257,Phường Long Trường,Quận 9,"Phường Long Trường, Quận 9",10.7986358,106.8237374
9258,Phường Phước Bình,Quận 9,"Phường Phước Bình, Quận 9",10.8137558,106.7721204
9259,Phường Phú Hữu,Quận 9,"Phường Phú Hữu, Quận 9",10.7890603,106.8001396
9260,Phường 15,Quận Gò Vấp,"Phường 15, Quận Gò Vấp",10.8514643,106.6678466
9261,Phường 13,Quận Gò Vấp,"Phường 13, Quận Gò Vấp",10.8551871,106.6584938
9262,Phường 17,Quận Gò Vấp,"Phường 17, Quận Gò Vấp",10.8409406,106.6748181
9263,Phường 6,Quận Gò Vấp,"Phường 6, Quận Gò Vấp",10.8384391,106.6816998
9264,Phường 16,Quận Gò Vấp,"Phường 16, Quận Gò Vấp",10.846657,106.6650311
9265,Phường 12,Quận Gò Vấp,"Phường 12, Quận Gò Vấp",10.8347203,106.6394461
9266,Phường 14,Quận Gò Vấp,"Phường 14, Quận Gò Vấp",10.8423134,106.6367
9267,Phường 10,Quận Gò Vấp,"Phường 10, Quận Gò Vấp",10.8329295,106.6718702
9268,Phường 5,Quận Gò Vấp,"Phường 5, Quận Gò Vấp",10.8292269,106.6895581
9269,Phường 7,Quận Gò Vấp,"Phường 7, Quận Gò Vấp",10.829553,106.683662
9270,Phường 4,Quận Gò Vấp,"Phường 4, Quận Gò Vấp",10.8230218,106.6847675
9271,Phường 1,Quận Gò Vấp,"Phường 1, Quận Gò Vấp",10.8183304,106.6895581
9272,Phường 9,Quận Gò Vấp,"Phường 9, Quận Gò Vấp",10.8476949,106.6512361
9273,Phường 8,Quận Gò Vấp,"Phường 8, Quận Gò Vấp",10.8395194,106.6512361
9274,Phường 11,Quận Gò Vấp,"Phường 11, Quận Gò Vấp",10.8180045,106.6954544
9275,Phường 3,Quận Gò Vấp,"Phường 3, Quận Gò Vấp",10.8148145,106.67924
9276,Phường 13,Quận Bình Thạnh,"Phường 13, Quận Bình Thạnh",10.8256869,106.7042991
9277,Phường 11,Quận Bình Thạnh,"Phường 11, Quận Bình Thạnh",10.8180045,106.6954544
9278,Phường 27,Quận Bình Thạnh,"Phường 27, Quận Bình Thạnh",10.8165361,106.7219896
9279,Phường 26,Quận Bình Thạnh,"Phường 26, Quận Bình Thạnh",10.8131851,106.7087216
9280,Phường 12,Quận Bình Thạnh,"Phường 12, Quận Bình Thạnh",10.8122309,106.7013508
9281,Phường 25,Quận Bình Thạnh,"Phường 25, Quận Bình Thạnh",10.8040973,106.7153875
9282,Phường 5,Quận Bình Thạnh,"Phường 5, Quận Bình Thạnh",10.8123239,106.687347
9283,Phường 7,Quận Bình Thạnh,"Phường 7, Quận Bình Thạnh",10.8072725,106.6925062
9284,Phường 24,Quận Bình Thạnh,"Phường 24, Quận Bình Thạnh",10.8058993,106.7050362
9285,Phường 6,Quận Bình Thạnh,"Phường 6, Quận Bình Thạnh",10.8068765,106.687347
9286,Phường 14,Quận Bình Thạnh,"Phường 14, Quận Bình Thạnh",10.8049449,106.6976655
9287,Phường 15,Quận Bình Thạnh,"Phường 15, Quận Bình Thạnh",10.8004527,106.7050362
9288,Phường 2,Quận Bình Thạnh,"Phường 2, Quận Bình Thạnh",10.8013371,106.7013508
9289,Phường 1,Quận Bình Thạnh,"Phường 1, Quận Bình Thạnh",10.7981365,106.6976655
9290,Phường 3,Quận Bình Thạnh,"Phường 3, Quận Bình Thạnh",10.7990535,106.6953093
9291,Phường 17,Quận Bình Thạnh,"Phường 17, Quận Bình Thạnh",10.7962866,106.7065103
9292,Phường 21,Quận Bình Thạnh,"Phường 21, Quận Bình Thạnh",10.7957882,106.7117589
9293,Phường 22,Quận Bình Thạnh,"Phường 22, Quận Bình Thạnh",10.7921907,106.7190411
9294,Phường 19,Quận Bình Thạnh,"Phường 19, Quận Bình Thạnh",10.7899564,106.7101958
9295,Phường 28,Quận Bình Thạnh,"Phường 28, Quận Bình Thạnh",10.825006,106.7411559
9296,Phường 2,Quận Tân Bình,"Phường 2, Quận Tân Bình",10.8114607,106.6659746
9297,Phường 4,Quận Tân Bình,"Phường 4, Quận Tân Bình",10.8037763,106.6571314
9298,Phường 12,Quận Tân Bình,"Phường 12, Quận Tân Bình",10.7931859,106.6500753
9299,Phường 13,Quận Tân Bình,"Phường 13, Quận Tân Bình",10.8058688,106.6438673
9300,Phường 1,Quận Tân Bình,"Phường 1, Quận Tân Bình",10.7957584,106.6667115
9301,Phường 3,Quận Tân Bình,"Phường 3, Quận Tân Bình",10.7932783,106.6622899
9302,Phường 11,Quận Tân Bình,"Phường 11, Quận Tân Bình",10.790694,106.6495246
9303,Phường 7,Quận Tân Bình,"Phường 7, Quận Tân Bình",10.7881559,106.6563945
9304,Phường 5,Quận Tân Bình,"Phường 5, Quận Tân Bình",10.7898335,106.6630268
9305,Phường 10,Quận Tân Bình,"Phường 10, Quận Tân Bình",10.7826359,106.645341
9306,Phường 6,Quận Tân Bình,"Phường 6, Quận Tân Bình",10.7837883,106.6582557
9307,Phường 8,Quận Tân Bình,"Phường 8, Quận Tân Bình",10.7829523,106.651973
9308,Phường 9,Quận Tân Bình,"Phường 9, Quận Tân Bình",10.7741424,106.6512361
9309,Phường 14,Quận Tân Bình,"Phường 14, Quận Tân Bình",10.7998249,106.6361303
9310,Phường 15,Quận Tân Bình,"Phường 15, Quận Tân Bình",10.8225398,106.6379724
9311,Phường Tân Sơn Nhì,Quận Tân Phú,"Phường Tân Sơn Nhì, Quận Tân Phú",10.7997882,106.630604
9312,Phường Tây Thạnh,Quận Tân Phú,"Phường Tây Thạnh, Quận Tân Phú",10.8122907,106.6261831
9313,Phường Sơn Kỳ,Quận Tân Phú,"Phường Sơn Kỳ, Quận Tân Phú",10.8033223,106.615868
9314,Phường Tân Quý,Quận Tân Phú,"Phường Tân Quý, Quận Tân Phú",10.794826,106.6217623
9315,Phường Tân Thành,Quận Tân Phú,"Phường Tân Thành, Quận Tân Phú",10.7914545,106.6335513
9316,Phường Phú Thọ Hòa,Quận Tân Phú,"Phường Phú Thọ Hòa, Quận Tân Phú",10.7863307,106.6276567
9317,Phường Phú Thạnh,Quận Tân Phú,"Phường Phú Thạnh, Quận Tân Phú",10.7785654,106.6317792
9318,Phường Phú Trung,Quận Tân Phú,"Phường Phú Trung, Quận Tân Phú",10.7773512,106.6423935
9319,Phường Hòa Thạnh,Quận Tân Phú,"Phường Hòa Thạnh, Quận Tân Phú",10.7783152,106.6372355
9320,Phường Hiệp Tân,Quận Tân Phú,"Phường Hiệp Tân, Quận Tân Phú",10.7727133,106.6276567
9321,Phường Tân Thới Hòa,Quận Tân Phú,"Phường Tân Thới Hòa, Quận Tân Phú",10.76294,106.6320777
9322,Phường 4,Quận Phú Nhuận,"Phường 4, Quận Phú Nhuận",10.8089654,106.6802896
9323,Phường 5,Quận Phú Nhuận,"Phường 5, Quận Phú Nhuận",10.8071206,106.682925
9324,Phường 9,Quận Phú Nhuận,"Phường 9, Quận Phú Nhuận",10.8055251,106.6748181
9325,Phường 7,Quận Phú Nhuận,"Phường 7, Quận Phú Nhuận",10.8019882,106.6895581
9326,Phường 3,Quận Phú Nhuận,"Phường 3, Quận Phú Nhuận",10.8021155,106.6810825
9327,Phường 1,Quận Phú Nhuận,"Phường 1, Quận Phú Nhuận",10.7974219,106.682117
9328,Phường 2,Quận Phú Nhuận,"Phường 2, Quận Phú Nhuận",10.7973443,106.687347
9329,Phường 8,Quận Phú Nhuận,"Phường 8, Quận Phú Nhuận",10.7980758,106.6740811
9330,Phường 15,Quận Phú Nhuận,"Phường 15, Quận Phú Nhuận",10.7950274,106.679977
9331,Phường 10,Quận Phú Nhuận,"Phường 10, Quận Phú Nhuận",10.7955148,106.6711332
9332,Phường 11,Quận Phú Nhuận,"Phường 11, Quận Phú Nhuận",10.7926289,106.6740811
9333,Phường 17,Quận Phú Nhuận,"Phường 17, Quận Phú Nhuận",10.7935032,106.682925
9334,Phường 14,Quận Phú Nhuận,"Phường 14, Quận Phú Nhuận",10.791592,106.6681854
9335,Phường 12,Quận Phú Nhuận,"Phường 12, Quận Phú Nhuận",10.7923853,106.678503
9336,Phường 13,Quận Phú Nhuận,"Phường 13, Quận Phú Nhuận",10.790068,106.6711332
9337,Phường Thảo Điền,Quận 2,"Phường Thảo Điền, Quận 2",10.8064331,106.7323097
9338,Phường An Phú,Quận 2,"Phường An Phú, Quận 2",10.8019128,106.7647475
9339,Phường Bình An,Quận 2,"Phường Bình An, Quận 2",10.7915388,106.7308354
9340,Phường Bình Trưng Đông,Quận 2,"Phường Bình Trưng Đông, Quận 2",10.78204,106.7794935
9341,Phường Bình Trưng Tây,Quận 2,"Phường Bình Trưng Tây, Quận 2",10.7844627,106.7603239
9342,Phường Bình Khánh,Quận 2,"Phường Bình Khánh, Quận 2",10.7830453,106.7367328
9343,Phường An Khánh,Quận 2,"Phường An Khánh, Quận 2",10.7814628,106.7160926
9344,Phường Cát Lái,Quận 2,"Phường Cát Lái, Quận 2",10.7708268,106.7853922
9345,Phường Thạnh Mỹ Lợi,Quận 2,"Phường Thạnh Mỹ Lợi, Quận 2",10.7583621,106.7647475
9346,Phường An Lợi Đông,Quận 2,"Phường An Lợi Đông, Quận 2",10.7631993,106.7264125
9347,Phường Thủ Thiêm,Quận 2,"Phường Thủ Thiêm, Quận 2",10.7732956,106.7160926
9348,Phường 8,Quận 3,"Phường 8, Quận 3",10.7891746,106.687347
9349,Phường 7,Quận 3,"Phường 7, Quận 3",10.7830885,106.68661
9350,Phường 14,Quận 3,"Phường 14, Quận 3",10.7895808,106.679977
9351,Phường 12,Quận 3,"Phường 12, Quận 3",10.788544,106.6740811
9352,Phường 11,Quận 3,"Phường 11, Quận 3",10.7860642,106.6696593
9353,Phường 13,Quận 3,"Phường 13, Quận 3",10.7855773,106.678503
9354,Phường 6,Quận 3,"Phường 6, Quận 3",10.7834495,106.6936593
9355,Phường 9,Quận 3,"Phường 9, Quận 3",10.7827731,106.679977
9356,Phường 10,Quận 3,"Phường 10, Quận 3",10.7812538,106.6766605
9357,Phường 4,Quận 3,"Phường 4, Quận 3",10.7730809,106.682925
9358,Phường 5,Quận 3,"Phường 5, Quận 3",10.7699102,106.6837263
9359,Phường 3,Quận 3,"Phường 3, Quận 3",10.7705205,106.679977
9360,Phường 2,Quận 3,"Phường 2, Quận 3",10.7677168,106.681451
9361,Phường 1,Quận 3,"Phường 1, Quận 3",10.76796,106.677029
9362,Phường 15,Quận 10,"Phường 15, Quận 10",10.7815015,106.6659746
9363,Phường 13,Quận 10,"Phường 13, Quận 10",10.7792565,106.6696593
9364,Phường 14,Quận 10,"Phường 14, Quận 10",10.7709337,106.6600791
9365,Phường 12,Quận 10,"Phường 12, Quận 10",10.7730084,106.6718702
9366,Phường 11,Quận 10,"Phường 11, Quận 10",10.7736443,106.6788715
9367,Phường 10,Quận 10,"Phường 10, Quận 10",10.7713857,106.6676482
9368,Phường 9,Quận 10,"Phường 9, Quận 10",10.7672178,106.6707888
9369,Phường 1,Quận 10,"Phường 1, Quận 10",10.7652375,106.677029
9370,Phường 8,Quận 10,"Phường 8, Quận 10",10.7784857,106.6811034
9371,Phường 2,Quận 10,"Phường 2, Quận 10",10.7640383,106.6740811
9372,Phường 4,Quận 10,"Phường 4, Quận 10",10.76292,106.6696593
9373,Phường 7,Quận 10,"Phường 7, Quận 10",10.7602821,106.6619214
9374,Phường 5,Quận 10,"Phường 5, Quận 10",10.7617206,106.6667115
9375,Phường 6,Quận 10,"Phường 6, Quận 10",10.7618825,106.6637637
9376,Phường 3,Quận 10,"Phường 3, Quận 10",10.7617978,106.6715017
9377,Phường 15,Quận 11,"Phường 15, Quận 11",10.7761932,106.6548706
9378,Phường 5,Quận 11,"Phường 5, Quận 11",10.771743,106.645341
9379,Phường 14,Quận 11,"Phường 14, Quận 11",10.7694985,106.6490254
9380,Phường 11,Quận 11,"Phường 11, Quận 11",10.7666947,106.6504992
9381,Phường 3,Quận 11,"Phường 3, Quận 11",10.7638975,106.6394461
9382,Phường 10,Quận 11,"Phường 10, Quận 11",10.7630148,106.6431304
9383,Phường 13,Quận 11,"Phường 13, Quận 11",10.7638102,106.6534468
9384,Phường 8,Quận 11,"Phường 8, Quận 11",10.7606898,106.6482886
9385,Phường 9,Quận 11,"Phường 9, Quận 11",10.7618523,106.6457095
9386,Phường 12,Quận 11,"Phường 12, Quận 11",10.7611684,106.651973
9387,Phường 7,Quận 11,"Phường 7, Quận 11",10.7605453,106.6596036
9388,Phường 6,Quận 11,"Phường 6, Quận 11",10.7599654,106.6552891
9389,Phường 4,Quận 11,"Phường 4, Quận 11",10.7579235,106.6552891
9390,Phường 1,Quận 11,"Phường 1, Quận 11",10.7564503,106.6387092
9391,Phường 2,Quận 11,"Phường 2, Quận 11",10.7574885,106.6446042
9392,Phường 16,Quận 11,"Phường 16, Quận 11",10.7552446,106.6482886
9393,Phường 12,Quận 4,"Phường 12, Quận 4",10.7657788,106.7042991
9394,Phường 13,Quận 4,"Phường 13, Quận 4",10.762732,106.7101958
9395,Phường 9,Quận 4,"Phường 9, Quận 4",10.76384,106.7022771
9396,Phường 6,Quận 4,"Phường 6, Quận 4",10.7598569,106.7006138
9397,Phường 8,Quận 4,"Phường 8, Quận 4",10.763091,106.7009979
9398,Phường 10,Quận 4,"Phường 10, Quận 4",10.760614,106.7054047
9399,Phường 5,Quận 4,"Phường 5, Quận 4",10.7586581,106.6976655
9400,Phường 18,Quận 4,"Phường 18, Quận 4",10.7596852,106.7160926
9401,Phường 14,Quận 4,"Phường 14, Quận 4",10.7580903,106.7079845
9402,Phường 4,Quận 4,"Phường 4, Quận 4",10.7556117,106.703562
9403,Phường 3,Quận 4,"Phường 3, Quận 4",10.754494,106.6991396
9404,Phường 16,Quận 4,"Phường 16, Quận 4",10.755125,106.7124071
9405,Phường 2,Quận 4,"Phường 2, Quận 4",10.7560172,106.6961914
9406,Phường 15,Quận 4,"Phường 15, Quận 4",10.7540075,106.7079845
9407,Phường 1,Quận 4,"Phường 1, Quận 4",10.7548993,106.6917692
9408,Phường 4,Quận 5,"Phường 4, Quận 5",10.7610728,106.678503
9409,Phường 9,Quận 5,"Phường 9, Quận 5",10.7587554,106.6711332
9410,Phường 3,Quận 5,"Phường 3, Quận 5",10.758071,106.6773975
9411,Phường 12,Quận 5,"Phường 12, Quận 5",10.7564453,106.6601602
9412,Phường 2,Quận 5,"Phường 2, Quận 5",10.7569084,106.679977
9413,Phường 8,Quận 5,"Phường 8, Quận 5",10.756033,106.6711332
9414,Phường 15,Quận 5,"Phường 15, Quận 5",10.7556424,106.6534468
9415,Phường 7,Quận 5,"Phường 7, Quận 5",10.7545101,106.6740811
9416,Phường 1,Quận 5,"Phường 1, Quận 5",10.7533033,106.683662
9417,Phường 11,Quận 5,"Phường 11, Quận 5",10.7537961,106.6622899
9418,Phường 14,Quận 5,"Phường 14, Quận 5",10.7528392,106.6549206
9419,Phường 5,Quận 5,"Phường 5, Quận 5",10.7510669,106.6748181
9420,Phường 6,Quận 5,"Phường 6, Quận 5",10.7506695,106.6696593
9421,Phường 10,Quận 5,"Phường 10, Quận 5",10.7510738,106.6622899
9422,Phường 13,Quận 5,"Phường 13, Quận 5",10.750036,106.6563945
9423,Phường 14,Quận 6,"Phường 14, Quận 6",10.7577874,106.6322597
9424,Phường 13,Quận 6,"Phường 13, Quận 6",10.7536523,106.6276567
9425,Phường 9,Quận 6,"Phường 9, Quận 6",10.7522857,106.640183
9426,Phường 6,Quận 6,"Phường 6, Quận 6",10.7519627,106.6460779
9427,Phường 12,Quận 6,"Phường 12, Quận 6",10.7506069,106.6335513
9428,Phường 5,Quận 6,"Phường 5, Quận 6",10.7481213,106.6416567
9429,Phường 11,Quận 6,"Phường 11, Quận 6",10.745162,106.6335513
9430,Phường 2,Quận 6,"Phường 2, Quận 6",10.7503592,106.6504992
9431,Phường 1,Quận 6,"Phường 1, Quận 6",10.7564503,106.6387092
9432,Phường 4,Quận 6,"Phường 4, Quận 6",10.7465179,106.6460779
9433,Phường 8,Quận 6,"Phường 8, Quận 6",10.742838,106.6387092
9434,Phường 3,Quận 6,"Phường 3, Quận 6",10.7431494,106.6473286
9435,Phường 7,Quận 6,"Phường 7, Quận 6",10.7387547,106.6387092
9436,Phường 10,Quận 6,"Phường 10, Quận 6",10.7403696,106.6238525
9437,Phường 8,Quận 8,"Phường 8, Quận 8",10.7501032,106.679977
9438,Phường 2,Quận 8,"Phường 2, Quận 8",10.7457311,106.6879557
9439,Phường 1,Quận 8,"Phường 1, Quận 8",10.7454538,106.6902951
9440,Phường 3,Quận 8,"Phường 3, Quận 8",10.7465276,106.6824374
9441,Phường 11,Quận 8,"Phường 11, Quận 8",10.7482708,106.6637637
9442,Phường 9,Quận 8,"Phường 9, Quận 8",10.7465056,106.6711332
9443,Phường 10,Quận 8,"Phường 10, Quận 8",10.7455487,106.6637637
9444,Phường 4,Quận 8,"Phường 4, Quận 8",10.7427393,106.677766
9445,Phường 13,Quận 8,"Phường 13, Quận 8",10.7459527,106.6563945
9446,Phường 12,Quận 8,"Phường 12, Quận 8",10.7432306,106.6563945
9447,Phường 5,Quận 8,"Phường 5, Quận 8",10.7384506,106.6633606
9448,Phường 14,Quận 8,"Phường 14, Quận 8",10.7396318,106.6475517
9449,Phường 6,Quận 8,"Phường 6, Quận 8",10.7334671,106.6482886
9450,Phường 15,Quận 8,"Phường 15, Quận 8",10.7257399,106.6332948
9451,Phường 16,Quận 8,"Phường 16, Quận 8",10.7251488,106.6261831
9452,Phường 7,Quận 8,"Phường 7, Quận 8",10.7046969,106.6210379
9453,Phường Bình Hưng Hòa,Quận Bình Tân,"Phường Bình Hưng Hòa, Quận Bình Tân",10.8026884,106.6026064
9454,Phường Bình Hưng Hoà A,Quận Bình Tân,"Phường Bình Hưng Hoà A, Quận Bình Tân",10.7850966,106.6069312
9455,Phường Bình Hưng Hoà B,Quận Bình Tân,"Phường Bình Hưng Hoà B, Quận Bình Tân",10.8033353,106.590819
9456,Phường Bình Trị Đông,Quận Bình Tân,"Phường Bình Trị Đông, Quận Bình Tân",10.7639086,106.6143944
9457,Phường Bình Trị Đông A,Quận Bình Tân,"Phường Bình Trị Đông A, Quận Bình Tân",10.7703231,106.5967126
9458,Phường Bình Trị Đông B,Quận Bình Tân,"Phường Bình Trị Đông B, Quận Bình Tân",10.7478932,106.6085003
9459,Phường Tân Tạo,Quận Bình Tân,"Phường Tân Tạo, Quận Bình Tân",10.7597516,106.590819
9460,Phường Tân Tạo A,Quận Bình Tân,"Phường Tân Tạo A, Quận Bình Tân",10.7360575,106.5906249
9461,Phường  An Lạc,Quận Bình Tân,"Phường  An Lạc, Quận Bình Tân",10.7231349,106.6111242
9462,Phường An Lạc A,Quận Bình Tân,"Phường An Lạc A, Quận Bình Tân",10.7539749,106.6217623
9463,Phường Tân Thuận Đông,Quận 7,"Phường Tân Thuận Đông, Quận 7",10.7571056,106.7382072
9464,Phường Tân Thuận Tây,Quận 7,"Phường Tân Thuận Tây, Quận 7",10.7511954,106.7219896
9465,Phường Tân Kiểng,Quận 7,"Phường Tân Kiểng, Quận 7",10.7491228,106.7101958
9466,Phường Tân Hưng,Quận 7,"Phường Tân Hưng, Quận 7",10.7443766,106.6981243
9467,Phường Bình Thuận,Quận 7,"Phường Bình Thuận, Quận 7",10.7417516,106.7205154
9468,Phường Tân Quy,Quận 7,"Phường Tân Quy, Quận 7",10.7409584,106.7101958
9469,Phường Phú Thuận,Quận 7,"Phường Phú Thuận, Quận 7",10.7299898,106.7426687
9470,Phường Tân Phú,Quận 7,"Phường Tân Phú, Quận 7",10.7251014,106.7264125
9471,Phường Tân Phong,Quận 7,"Phường Tân Phong, Quận 7",10.7318388,106.702825
9472,Phường Phú Mỹ,Quận 7,"Phường Phú Mỹ, Quận 7",10.7081313,106.7382072
